order_id,order_date,ship_date,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,ship_mode,quantity,unit_price,discount_parsed,cleaned_discount,recorded_sales,cost,calculated_sales,calculated_profit,profit_margin,shipping_delay_days,order_month,order_year,payment_status,order_status,is_region_filled,is_shipmode_filled,is_discount_filled,is_shipping_invalid,is_discount_invalid,is_duplicate_conflict,is_completed_sale,data_quality_flag
ORD-2025-10011,5/20/2025,5/20/2025,CUST-8092,Ananya Rao,Corporate,East,West Bengal,Kolkata,Office Supplies,Labels,Prime Labels 644,Second Class,3,3534.83,0.05,0.05,10074.27,6048.27,10074.2655,4025.9955,0.399631665,0,May,2025,Refunded,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10012,7/22/2024,7/23/2024,CUST-6528,Vikram Iyer,Small Business,East,Odisha,Bhubaneswar,Technology,Accessories,Smart Accessories 603,Same Day,6,2005.95,0.2,0.2,9628.56,8038.59,9628.56,1589.97,0.165130611,1,July,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10013,12/20/2024,12/21/2024,CUST-2648,Ananya Rao,Corporate,West,Rajasthan,Udaipur,Office Supplies,Paper,Pro Paper 481,First Class,1,702.14,0.15,0.15,596.82,380.25,596.819,216.569,0.362872161,1,December,2024,Pending,Returned,No,No,No,No,No,No,No,Clean
ORD-2025-10014,10/12/2025,10/16/2025,CUST-7482,Priya Menon,Small Business,West,Maharashtra,Mumbai,Office Supplies,Art,Smart Art 795,Second Class,7,3964.72,0.05,0.05,26365.39,22306.24,26365.388,4059.148,0.153957454,4,October,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10015,12/27/2024,12/28/2024,CUST-4912,Rahul Verma,Consumer,West,Rajasthan,Udaipur,Technology,Copiers,Max Copiers 983,Standard Class,2,2737.83,0.25,0.25,4106.74,2666.3,4106.745,1440.445,0.350751021,1,December,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10016,7/9/2024,7/9/2024,CUST-7656,Karan Malhotra,Small Business,North,Punjab,Ludhiana,Office Supplies,Storage,Classic Storage 198,Second Class,6,3965.76,0,0,23794.56,15698.47,23794.56,8096.09,0.34024962,0,July,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10017,5/8/2024,5/15/2024,CUST-6214,Aarav Sharma,Consumer,South,Telangana,Hyderabad,Office Supplies,Art,Basic Art 204,First Class,4,3323.51,0.25,0.25,9970.53,5668.17,9970.53,4302.36,0.431507653,7,May,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10018,1/7/2024,1/8/2024,CUST-1626,Sneha Kapoor,Small Business,North,Rajasthan,Jaipur,Furniture,Furnishings,Basic Furnishings 434,Same Day,5,1526.78,0,0,7633.9,4706.91,7633.9,2926.99,0.383420008,1,January,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10019,7/15/2025,7/17/2025,CUST-2110,Aarav Sharma,Home Office,North,Uttar Pradesh,Noida,Technology,Copiers,Eco Copiers 755,First Class,2,1997.99,0,0,3995.98,2633.2,3995.98,1362.78,0.341037743,2,July,2025,Refunded,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2024-10020,7/27/2024,7/31/2024,CUST-3186,Rohan Mehta,Home Office,West,Madhya Pradesh,Indore,Office Supplies,Storage,Prime Storage 121,Second Class,3,3887.94,-0.19,0,9331.06,7529.31,11663.82,4134.51,0.354473063,4,July,2024,Paid,Completed,No,No,No,No,Yes,No,Yes,Invalid
ORD-2025-10021,1/21/2025,1/23/2025,CUST-3190,Aditi Sen,Home Office,East,Bihar,Patna,Technology,Copiers,Elite Copiers 233,First Class,5,4373.06,0.25,0.25,16398.98,9556.52,16398.975,6842.455,0.417248944,2,January,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10022,1/24/2025,1/30/2025,CUST-3036,Sneha Kapoor,Consumer,West,Madhya Pradesh,Indore,Furniture,Furnishings,Eco Furnishings 897,Second Class,4,697.69,-0.23,0,2790.76,2037.71,2790.76,753.05,0.26983689,6,January,2025,Paid,Completed,No,No,No,No,Yes,No,Yes,Invalid
ORD-2025-10023,1/19/2025,1/21/2025,CUST-3588,Mira Das,Consumer,South,Telangana,Hyderabad,Office Supplies,Binders,Max Binders 355,Standard Class,8,1219.34,0.15,0.15,8291.51,6685.03,8291.512,1606.482,0.193750187,2,January,2025,Failed,Returned,No,No,No,No,No,No,No,Clean
ORD-2025-10024,8/29/2025,8/31/2025,CUST-7098,Rahul Verma,Home Office,East,Bihar,Patna,Furniture,Bookcases,Pro Bookcases 394,First Class,4,1958.01,0.2,0.2,6265.63,4321.86,6265.632,1943.772,0.310227604,2,August,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10025,3/4/2024,3/1/2024,CUST-1747,Diya Patel,Consumer,North,Punjab,Ludhiana,Office Supplies,Art,Max Art 215,Standard Class,4,4492.94,0.25,0.25,13478.82,10937.35,13478.82,2541.47,0.188552856,-3,March,2024,Pending,Cancelled,No,No,No,Yes,No,No,No,Invalid
ORD-2024-10026,10/11/2024,10/19/2024,CUST-1731,Arjun Bose,Corporate,East,Assam,Guwahati,Technology,Accessories,Classic Accessories 478,First Class,2,4315.2,0.15,0.15,7335.84,4968.41,7335.84,2367.43,0.322721052,8,October,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10027,11/23/2024,11/23/2024,CUST-4401,Diya Patel,Corporate,North,Uttar Pradesh,Noida,Technology,Phones,Pro Phones 243,Standard Class,4,716.13,0.1,0.1,2578.07,1527.55,2578.068,1050.518,0.407482658,0,November,2024,Paid,Returned,No,No,No,No,No,No,No,Clean
ORD-2025-10028,9/29/2025,10/5/2025,CUST-9875,Arjun Bose,Small Business,South,Karnataka,Bengaluru,Office Supplies,Paper,Basic Paper 613,Second Class,5,1806.51,0.25,0.25,6774.41,4710.36,6774.4125,2064.0525,0.304683616,6,September,2025,Failed,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10029,10/11/2024,10/18/2024,CUST-1569,Ananya Rao,Home Office,West,Gujarat,Ahmedabad,Technology,Phones,Prime Phones 698,Second Class,2,1942.22,0.25,0.25,2913.33,2122.33,2913.33,791,0.271510608,7,October,2024,Refunded,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2025-10030,8/13/2025,8/13/2025,CUST-5936,Rohan Mehta,Home Office,South,Kerala,Kochi,Technology,Phones,Pro Phones 442,Standard Class,1,256.01,0.15,0.15,217.61,119.77,217.6085,97.8385,0.449607897,0,August,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10031,2/9/2024,2/12/2024,CUST-8759,Ananya Rao,Corporate,West,Goa,Panaji,Office Supplies,Labels,Pro Labels 355,First Class,1,3421.77,0.1,0.1,3079.59,2001.89,3079.593,1077.703,0.349949815,3,February,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10032,6/15/2025,6/19/2025,CUST-7867,Karan Malhotra,Small Business,West,Madhya Pradesh,Indore,Office Supplies,Paper,Pro Paper 959,Second Class,9,3092.55,0,0,27832.95,17769.75,27832.95,10063.2,0.361557075,4,June,2025,Failed,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10033,11/22/2024,11/26/2024,CUST-6509,Aarav Sharma,Corporate,South,Andhra Pradesh,Vijayawada,Technology,Phones,Basic Phones 242,Second Class,3,4001.25,,0,9002.81,7529.92,12003.75,4473.83,0.372702697,4,November,2024,Paid,Completed,No,No,Yes,No,No,No,Yes,Warning
ORD-2024-10034,7/22/2024,7/27/2024,CUST-6660,Priya Menon,Home Office,West,Goa,Panaji,Furniture,Tables,Max Tables 836,Same Day,7,492.41,0.25,0.25,2585.15,2070.73,2585.1525,514.4225,0.198991162,5,July,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10035,1/31/2025,2/5/2025,CUST-2392,Priya Menon,Home Office,East,West Bengal,Kolkata,Furniture,Chairs,Elite Chairs 862,Unknown,2,4159.69,0.2,0.2,6655.5,4340.21,6655.504,2315.294,0.347876585,5,January,2025,Paid,Completed,No,Yes,No,No,No,No,Yes,Warning
ORD-2024-10036,5/29/2024,5/29/2024,CUST-1611,Sneha Kapoor,Small Business,West,Gujarat,Ahmedabad,Furniture,Bookcases,Prime Bookcases 414,Second Class,8,2507.12,0.05,0.05,19054.11,15313.83,19054.112,3740.282,0.196297891,0,May,2024,Pending,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10037,10/25/2024,10/28/2024,CUST-8296,Rohan Mehta,Corporate,West,Maharashtra,Mumbai,Furniture,Bookcases,Eco Bookcases 220,Second Class,3,3126.47,0,0,9379.41,6670.85,9379.41,2708.56,0.288777226,3,October,2024,Paid,Returned,No,No,No,No,No,No,No,Clean
ORD-2025-10038,7/29/2025,7/29/2025,CUST-4646,Diya Patel,Consumer,West,Maharashtra,Mumbai,Technology,Copiers,Pro Copiers 830,Standard Class,4,1327.54,0.2,0.2,4248.13,3321.09,4248.128,927.038,0.218222709,0,July,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10039,6/17/2024,6/22/2024,CUST-8235,Aarav Sharma,Corporate,West,Gujarat,Ahmedabad,Technology,Phones,Prime Phones 507,First Class,7,2210.68,0.1,0.1,13927.28,10504.87,13927.284,3422.414,0.245734488,5,June,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10040,12/11/2024,12/11/2024,CUST-5830,Mira Das,Small Business,West,Madhya Pradesh,Indore,Technology,Copiers,Classic Copiers 590,First Class,4,1370.92,0.1,0.1,4935.31,3374.77,4935.312,1560.542,0.31619926,0,December,2024,Pending,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10041,10/10/2024,10/16/2024,CUST-7178,Isha Nair,Home Office,West,Rajasthan,Udaipur,Technology,Copiers,Eco Copiers 865,Standard Class,7,2509.27,0.2,0.2,14051.91,11990.37,14051.912,2061.542,0.146709003,6,October,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10042,3/12/2024,3/17/2024,CUST-3829,Aarav Sharma,Small Business,East,Odisha,Bhubaneswar,Furniture,Bookcases,Classic Bookcases 835,Same Day,8,855.81,0,0,6846.48,4239.89,6846.48,2606.59,0.380719728,5,March,2024,Pending,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2025-10043,10/10/2025,10/15/2025,CUST-6708,Arjun Bose,Corporate,East,Jharkhand,Ranchi,Technology,Phones,Eco Phones 702,Standard Class,8,979.87,0.05,0.05,7447.01,4496.22,7447.012,2950.792,0.396238384,5,October,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10044,7/8/2024,7/14/2024,CUST-7119,Priya Menon,Small Business,East,Odisha,Bhubaneswar,Furniture,Furnishings,Smart Furnishings 956,Same Day,3,1010.23,0,0,3030.69,1721.08,3030.69,1309.61,0.432116119,6,July,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10045,6/22/2024,6/25/2024,CUST-3373,Rohan Mehta,Small Business,North,Haryana,Gurugram,Furniture,Chairs,Max Chairs 393,Standard Class,9,3329.77,0.1,0.1,26971.14,17376.2,26971.137,9594.937,0.355748332,3,June,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10046,1/18/2024,1/24/2024,CUST-8896,Isha Nair,Home Office,East,Bihar,Patna,Office Supplies,Art,Prime Art 221,Second Class,8,3927.82,0.05,0.05,29851.43,17487.48,29851.432,12363.952,0.414182877,6,January,2024,Pending,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10047,7/19/2024,7/19/2024,CUST-8517,Ananya Rao,Small Business,South,Kerala,Kochi,Furniture,Bookcases,Elite Bookcases 671,Standard Class,9,2386.79,0.25,0.25,16110.83,10680.03,16110.8325,5430.8025,0.337090122,0,July,2024,Refunded,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10048,8/12/2024,8/12/2024,CUST-1987,Rahul Verma,Corporate,South,Tamil Nadu,Chennai,Office Supplies,Storage,Max Storage 432,Standard Class,8,2445.31,0.1,0.1,17606.23,12438.96,17606.232,5167.272,0.293491077,0,August,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10049,1/30/2025,2/5/2025,CUST-8183,Neha Gupta,Corporate,West,Maharashtra,Mumbai,Furniture,Chairs,Basic Chairs 837,Second Class,7,4063.66,0,0,28445.62,20938.59,28445.62,7507.03,0.263908117,6,January,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10050,4/6/2024,4/13/2024,CUST-2380,Aarav Sharma,Home Office,North,Uttar Pradesh,Noida,Technology,Copiers,Classic Copiers 295,Second Class,9,792.11,0.05,0.05,6772.54,5755.46,6772.5405,1017.0805,0.150177101,7,April,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10051,5/11/2025,5/19/2025,CUST-8787,Sneha Kapoor,Consumer,East,West Bengal,Kolkata,Technology,Copiers,Pro Copiers 963,Standard Class,1,2382.8,0.15,0.15,2025.38,1140.65,2025.38,884.73,0.436821732,8,May,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10052,4/24/2024,4/29/2024,CUST-3557,Ananya Rao,Corporate,South,Telangana,Hyderabad,Office Supplies,Art,Pro Art 907,Standard Class,6,1528.08,0,0,9168.48,7439.77,9168.48,1728.71,0.188549247,5,April,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10053,10/26/2024,10/28/2024,CUST-2778,Kabir Singh,Small Business,North,Rajasthan,Jaipur,Furniture,Chairs,Pro Chairs 526,First Class,9,1399.63,0,0,12596.67,10603.29,12596.67,1993.38,0.158246584,2,October,2024,Failed,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2025-10054,3/31/2025,3/31/2025,CUST-7195,Kabir Singh,Home Office,West,Gujarat,Ahmedabad,Office Supplies,Storage,Elite Storage 924,First Class,5,1207.47,0.15,0.15,5131.75,2838.68,5131.7475,2293.0675,0.446839503,0,March,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10055,5/30/2025,6/2/2025,CUST-9039,Arjun Bose,Corporate,South,Tamil Nadu,Chennai,Office Supplies,Labels,Pro Labels 957,Same Day,8,474.37,0.1,0.1,3415.46,1993.23,3415.464,1422.234,0.416410186,3,May,2025,Failed,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2025-10056,7/1/2025,7/3/2025,CUST-9821,Mira Das,Small Business,South,Andhra Pradesh,Vijayawada,Technology,Machines,Classic Machines 310,Same Day,3,1516.24,0.25,0.25,3411.54,2803.13,3411.54,608.41,0.178338815,2,July,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10057,1/5/2025,1/6/2025,CUST-8701,Karan Malhotra,Consumer,South,Karnataka,Bengaluru,Office Supplies,Binders,Smart Binders 393,Second Class,3,3155.61,0,0,9466.83,6557.83,9466.83,2909,0.307283431,1,January,2025,Refunded,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2024-10058,2/7/2024,2/15/2024,CUST-9941,Priya Menon,Consumer,West,Goa,Panaji,Furniture,Chairs,Max Chairs 813,Same Day,5,255.87,0,0,1279.35,1091.54,1279.35,187.81,0.14680111,8,February,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10059,9/1/2024,9/7/2024,CUST-3983,Isha Nair,Home Office,North,Rajasthan,Jaipur,Office Supplies,Storage,Basic Storage 872,Unknown,9,1389.48,0.1,0.1,11254.79,6578.06,11254.788,4676.728,0.415532305,6,September,2024,Pending,Returned,No,Yes,No,No,No,No,No,Warning
ORD-2024-10060,7/20/2024,7/25/2024,CUST-2418,Priya Menon,Corporate,East,Assam,Guwahati,Office Supplies,Labels,Smart Labels 655,Same Day,5,4133.85,0.2,0.2,16535.4,12990.21,16535.4,3545.19,0.214400015,5,July,2024,Paid,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2024-10061,7/13/2024,7/19/2024,CUST-2892,Ananya Rao,Corporate,East,Assam,Guwahati,Office Supplies,Labels,Eco Labels 210,Same Day,3,275.76,0.2,0.2,661.82,481.47,661.824,180.354,0.272510516,6,July,2024,Refunded,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2024-10062,4/16/2024,4/16/2024,CUST-7008,Vikram Iyer,Home Office,East,Bihar,Patna,Furniture,Bookcases,Classic Bookcases 296,Standard Class,1,949.59,0,0,949.59,751.25,949.59,198.34,0.208869091,0,April,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10063,10/30/2024,11/2/2024,CUST-4900,Sneha Kapoor,Home Office,North,Rajasthan,Jaipur,Technology,Phones,Basic Phones 230,Standard Class,9,3042.29,0.2,0.2,21904.49,13570.55,21904.488,8333.938,0.380467144,3,October,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10064,1/25/2024,2/1/2024,CUST-5382,Sneha Kapoor,Home Office,North,Haryana,Gurugram,Office Supplies,Binders,Pro Binders 690,Same Day,2,2832.77,0.15,0.15,4815.71,3027.75,4815.709,1787.959,0.371276379,7,January,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10065,12/23/2024,12/29/2024,CUST-2749,Aarav Sharma,Corporate,East,Jharkhand,Ranchi,Office Supplies,Paper,Classic Paper 458,First Class,7,447.84,0,0,3134.88,2367.63,3134.88,767.25,0.24474621,6,December,2024,Refunded,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10066,4/22/2024,4/27/2024,CUST-2463,Mira Das,Home Office,West,Maharashtra,Mumbai,Office Supplies,Paper,Pro Paper 552,Second Class,1,4280.19,0.05,0.05,4066.18,2628.92,4066.1805,1437.2605,0.35346697,5,April,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10067,8/28/2025,9/1/2025,CUST-1504,Karan Malhotra,Small Business,South,Tamil Nadu,Chennai,Technology,Accessories,Elite Accessories 187,Same Day,7,1057.46,0.05,0.05,7032.11,4610.34,7032.109,2421.769,0.344387295,4,August,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10068,2/3/2025,2/7/2025,CUST-8282,Kabir Singh,Consumer,North,Haryana,Gurugram,Office Supplies,Paper,Eco Paper 922,First Class,7,3609.34,0.05,0.05,24002.11,18707.57,24002.111,5294.541,0.220586473,4,February,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10069,11/10/2024,11/13/2024,CUST-6054,Isha Nair,Corporate,East,Jharkhand,Ranchi,Office Supplies,Storage,Pro Storage 975,Second Class,9,2211.12,0,0,19900.08,10962.66,19900.08,8937.42,0.449114777,3,November,2024,Failed,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10070,4/9/2024,4/14/2024,CUST-5979,Neha Gupta,Small Business,West,Gujarat,Ahmedabad,Technology,Machines,Prime Machines 782,Same Day,7,3417.09,0.1,0.1,21527.67,18287.58,21527.667,3240.087,0.150508042,5,April,2024,Refunded,Returned,No,No,No,No,No,No,No,Clean
ORD-2025-10071,8/22/2025,8/27/2025,CUST-5582,Karan Malhotra,Corporate,South,Andhra Pradesh,Vijayawada,Technology,Phones,Max Phones 661,First Class,2,905.87,0.15,0.15,1539.98,1070.2,1539.979,469.779,0.305055459,5,August,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10072,4/16/2025,4/23/2025,CUST-3308,Mira Das,Small Business,West,Goa,Panaji,Technology,Machines,Elite Machines 836,Standard Class,6,2027.32,0.1,0.1,10947.53,6447.36,10947.528,4500.168,0.411067046,7,April,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10073,2/11/2024,2/7/2024,CUST-5018,Karan Malhotra,Home Office,South,Tamil Nadu,Chennai,Furniture,Tables,Prime Tables 902,First Class,7,2287.47,0.15,0.15,13610.45,10039.05,13610.4465,3571.3965,0.262401127,-4,February,2024,Paid,Completed,No,No,No,Yes,No,No,Yes,Invalid
ORD-2025-10074,3/29/2025,4/3/2025,CUST-2342,Sneha Kapoor,Corporate,East,West Bengal,Kolkata,Furniture,Bookcases,Smart Bookcases 167,First Class,5,1425.74,0,0,7128.7,4382.15,7128.7,2746.55,0.385280626,5,March,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10075,2/27/2025,3/1/2025,CUST-6201,Vikram Iyer,Small Business,East,West Bengal,Kolkata,Furniture,Chairs,Max Chairs 244,Standard Class,6,551.64,0,0,3309.84,2671.08,3309.84,638.76,0.192988181,2,February,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10076,8/22/2025,8/27/2025,CUST-5808,Priya Menon,Small Business,East,Odisha,Bhubaneswar,Office Supplies,Labels,Eco Labels 653,First Class,3,3294.82,0.2,0.2,7907.57,5391.18,7907.568,2516.388,0.318225275,5,August,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10077,11/3/2024,11/11/2024,CUST-2642,Ananya Rao,Corporate,East,Jharkhand,Ranchi,Office Supplies,Labels,Max Labels 617,Second Class,3,3406.27,0,0,10218.81,7616.97,10218.81,2601.84,0.254612817,8,November,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10078,7/8/2025,7/12/2025,CUST-4385,Rohan Mehta,Home Office,North,Uttar Pradesh,Noida,Furniture,Furnishings,Pro Furnishings 529,Standard Class,1,2582.2,0.15,0.15,2194.87,1223.17,2194.87,971.7,0.442714147,4,July,2025,Refunded,Cancelled,No,No,No,No,No,No,No,Clean
ORD-2025-10079,7/16/2025,7/21/2025,CUST-8043,Sneha Kapoor,Corporate,East,West Bengal,Kolkata,Furniture,Tables,Smart Tables 561,First Class,5,2129.51,0.15,0.15,9050.42,6778.85,9050.4175,2271.5675,0.250990355,5,July,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2025-10080,9/27/2025,10/3/2025,CUST-9978,Diya Patel,Home Office,South,Tamil Nadu,Chennai,Furniture,Chairs,Prime Chairs 838,Same Day,9,4131.52,0.1,0.1,33465.31,24781.26,33465.312,8684.052,0.259494129,6,September,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10081,8/10/2024,8/14/2024,CUST-2094,Aarav Sharma,Small Business,North,Delhi,New Delhi,Office Supplies,Storage,Elite Storage 371,Second Class,4,1182.32,0.1,0.1,4256.35,2495.33,4256.352,1761.022,0.413739747,4,August,2024,Pending,Returned,No,No,No,No,No,No,No,Clean
ORD-2025-10082,3/16/2025,3/17/2025,CUST-7907,Karan Malhotra,Home Office,West,Goa,Panaji,Office Supplies,Labels,Eco Labels 662,Same Day,3,1841.91,0,0,5525.73,3093.42,5525.73,2432.31,0.440178945,1,March,2025,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10083,8/3/2024,8/4/2024,CUST-6516,Arjun Bose,Consumer,North,Uttar Pradesh,Noida,Technology,Copiers,Smart Copiers 702,Second Class,6,1001.73,0,0,6010.38,3762.85,6010.38,2247.53,0.373941415,1,August,2024,Failed,Returned,No,No,No,No,No,No,No,Clean
ORD-2024-10084,10/26/2024,10/29/2024,CUST-4989,Aditi Sen,Home Office,West,Maharashtra,Mumbai,Furniture,Tables,Elite Tables 362,Second Class,9,131.74,0.2,0.2,948.53,674.62,948.528,273.908,0.288771655,3,October,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10085,10/1/2024,10/3/2024,CUST-3758,Rohan Mehta,Corporate,South,Tamil Nadu,Chennai,Technology,Phones,Elite Phones 781,Second Class,6,570.28,0.2,0.2,2737.34,2085.44,2737.344,651.904,0.238152019,2,October,2024,Paid,Completed,No,No,No,No,No,No,Yes,Clean
ORD-2024-10086,7/30/2024,8/5/2024,CUST-6702,Kabir Singh,Corporate,North,Delhi,New Delhi,Office Supplies,Binders,Eco Binders 456,Standard Class,1,608.64,0,0,608.64,343.99,608.64,264.65,0.434821898,6,July,2024,Paid,Cancelled,No,No,No,No,No,No,No,Clean
